Epoch,Joint,Rec,KLD
1,5835535.785,5938.714,133677.927
2,4890.572,5.000,76.564
3,590.404,0.608,2.641
4,609.406,0.628,2.941
5,490.172,0.506,1.388
6,478.762,0.495,1.166
7,463.941,0.480,1.163
8,459.028,0.475,1.117
9,458.287,0.474,1.166
10,453.977,0.470,1.221
11,451.507,0.467,1.266
12,448.820,0.465,1.316
13,447.039,0.463,1.334
14,444.146,0.460,1.360
15,442.110,0.458,1.362
16,438.779,0.455,1.369
17,435.898,0.452,1.391
18,432.286,0.449,1.380
19,428.929,0.445,1.352
20,426.204,0.443,1.325
21,424.470,0.441,1.303
22,420.724,0.437,1.316
23,417.513,0.434,1.383
24,414.250,0.431,1.470
25,410.889,0.427,1.472
26,406.824,0.423,1.520
27,402.522,0.419,1.567
28,400.220,0.416,1.585
29,396.600,0.413,1.586
30,392.979,0.409,1.591
31,389.280,0.406,1.581
32,387.787,0.404,1.580
33,384.889,0.401,1.562
34,382.618,0.399,1.572
35,379.748,0.396,1.574
36,378.774,0.395,1.576
37,378.715,0.395,1.592
38,375.994,0.393,1.565
39,380.386,0.397,1.743
40,374.335,0.391,1.687
41,374.704,0.392,1.625
42,373.716,0.391,1.597
43,371.136,0.388,1.598
44,370.273,0.387,1.578
45,370.049,0.387,1.604
46,367.754,0.385,1.579
47,366.553,0.384,1.575
48,366.392,0.384,1.568
49,364.709,0.382,1.547
50,363.695,0.381,1.559
51,362.662,0.381,1.520
52,362.157,0.380,1.525
53,361.000,0.379,1.514
54,360.960,0.379,1.515
55,360.991,0.379,1.496
56,358.201,0.377,1.509
57,356.880,0.375,1.491
58,355.720,0.374,1.481
59,357.031,0.376,1.507
60,355.250,0.374,1.483
61,353.299,0.372,1.481
62,352.846,0.372,1.472
63,352.146,0.371,1.486
64,350.069,0.369,1.461
65,348.817,0.368,1.491
66,348.554,0.368,1.490
67,348.174,0.367,1.471
68,347.264,0.367,1.480
69,344.957,0.364,1.471
70,345.601,0.365,1.457
71,343.759,0.363,1.453
72,343.069,0.363,1.467
73,340.964,0.361,1.480
74,339.519,0.359,1.480
75,340.291,0.360,1.465
76,340.130,0.360,1.446
