Epoch,Joint_loss,Rec_loss,KLD_loss,Total,Valid,Valid_rate,Unique,Unique_rate,Novelty,Novel_rate,Diversity
1,1.613,1.627,0.181,1376,2,0.15,2,100.00,2,100.00,0.98
2,1.336,1.356,0.009,1376,2,0.15,2,100.00,2,100.00,0.94
3,1.278,1.303,0.005,1376,1,0.07,1,100.00,1,100.00,0.94
4,1.221,1.252,0.003,1376,1,0.07,1,100.00,1,100.00,0.94
5,1.196,1.232,0.003,1376,1,0.07,1,100.00,1,100.00,0.91
6,1.169,1.211,0.002,1376,0,0.00,0,0.00,0,0.00,1.00
7,1.127,1.173,0.001,1376,1,0.07,1,100.00,1,100.00,0.89
8,1.101,1.152,0.001,1376,2,0.15,2,100.00,2,100.00,0.93
9,1.079,1.136,0.001,1376,1,0.07,1,100.00,1,100.00,0.94
10,1.059,1.121,0.001,1376,0,0.00,0,0.00,0,0.00,1.00
11,1.013,1.077,0.001,1376,1,0.07,1,100.00,1,100.00,0.90
12,1.003,1.072,0.001,1376,2,0.15,2,100.00,2,100.00,0.93
13,0.992,1.066,0.001,1376,1,0.07,1,100.00,1,100.00,0.94
14,0.958,1.035,0.000,1376,1,0.07,1,100.00,1,100.00,0.73
15,0.954,1.036,0.000,1376,2,0.15,2,100.00,2,100.00,0.94
16,0.930,1.016,0.000,1376,1,0.07,1,100.00,1,100.00,0.92
17,0.902,0.990,0.000,1376,5,0.36,5,100.00,5,100.00,0.85
18,0.906,1.000,0.000,1376,1,0.07,1,100.00,1,100.00,0.95
19,0.881,0.978,0.000,1376,1,0.07,1,100.00,1,100.00,0.94
20,0.880,0.982,0.000,1376,0,0.00,0,0.00,0,0.00,1.00
21,0.858,0.963,0.000,1376,3,0.22,3,100.00,3,100.00,0.86
22,0.847,0.956,0.000,1376,2,0.15,2,100.00,2,100.00,0.78
23,0.830,0.942,0.000,1376,3,0.22,3,100.00,3,100.00,0.84
24,0.815,0.930,0.000,1376,1,0.07,1,100.00,1,100.00,0.84
25,0.822,0.944,0.000,1376,2,0.15,2,100.00,2,100.00,0.85
26,0.807,0.931,0.000,1376,0,0.00,0,0.00,0,0.00,1.00
27,0.781,0.907,0.000,1376,1,0.07,1,100.00,1,100.00,0.84
28,0.784,0.916,0.000,1376,3,0.22,3,100.00,3,100.00,0.89
29,0.772,0.907,0.000,1376,7,0.51,7,100.00,7,100.00,0.81
30,0.760,0.898,0.000,1376,1,0.07,1,100.00,1,100.00,0.86
31,0.760,0.904,0.000,1376,2,0.15,2,100.00,2,100.00,0.93
32,0.749,0.896,0.000,1376,2,0.15,2,100.00,2,100.00,0.81
33,0.752,0.905,0.000,1376,1,0.07,1,100.00,1,100.00,0.72
34,0.734,0.888,0.000,1376,2,0.15,2,100.00,2,100.00,0.89
35,0.736,0.895,0.000,1376,2,0.15,2,100.00,2,100.00,0.84
36,0.730,0.891,0.013,1376,6,0.44,6,100.00,6,100.00,0.86
37,0.717,0.884,0.000,1376,0,0.00,0,0.00,0,0.00,1.00
38,0.716,0.887,0.000,1376,7,0.51,7,100.00,7,100.00,0.86
39,0.704,0.878,0.000,1376,5,0.36,5,100.00,5,100.00,0.82
40,0.717,0.899,0.000,1376,6,0.44,6,100.00,6,100.00,0.89
41,0.689,0.870,0.000,1376,7,0.51,7,100.00,7,100.00,0.86
42,0.686,0.871,0.000,1376,6,0.44,6,100.00,6,100.00,0.88
43,0.674,0.862,0.000,1376,9,0.65,9,100.00,9,100.00,0.84
44,0.670,0.863,0.000,1376,4,0.29,4,100.00,4,100.00,0.85
45,0.663,0.859,0.000,1376,2,0.15,2,100.00,2,100.00,0.84
46,0.660,0.860,0.000,1376,0,0.00,0,0.00,0,0.00,1.00
47,0.661,0.867,0.000,1376,1,0.07,1,100.00,1,100.00,0.86
48,0.643,0.849,0.000,1376,4,0.29,4,100.00,4,100.00,0.89
49,0.621,0.826,0.000,1376,9,0.65,9,100.00,9,100.00,0.85
50,0.618,0.827,0.000,1376,9,0.65,9,100.00,9,100.00,0.86
51,0.627,0.845,0.000,1376,5,0.36,5,100.00,5,100.00,0.86
52,0.624,0.846,0.000,1376,6,0.44,6,100.00,6,100.00,0.73
53,0.609,0.832,0.000,1376,4,0.29,4,100.00,4,100.00,0.81
54,0.607,0.834,0.000,1376,7,0.51,7,100.00,7,100.00,0.84
55,0.600,0.830,0.000,1376,4,0.29,4,100.00,4,100.00,0.85
56,0.589,0.821,0.000,1376,4,0.29,4,100.00,4,100.00,0.94
57,0.590,0.827,0.000,1376,8,0.58,8,100.00,8,100.00,0.83
58,0.569,0.803,0.000,1376,6,0.44,6,100.00,6,100.00,0.81
59,0.573,0.815,0.000,1376,7,0.51,7,100.00,7,100.00,0.86
60,0.565,0.810,0.000,1376,9,0.65,9,100.00,9,100.00,0.86
61,0.570,0.822,0.000,1376,5,0.36,5,100.00,5,100.00,0.86
62,0.556,0.809,0.000,1376,9,0.65,9,100.00,9,100.00,0.87
63,0.554,0.811,0.000,1376,8,0.58,8,100.00,8,100.00,0.86
64,0.558,0.822,0.000,1376,6,0.44,6,100.00,6,100.00,0.79
65,0.545,0.809,0.000,1376,5,0.36,5,100.00,5,100.00,0.87
66,0.549,0.822,0.000,1376,4,0.29,4,100.00,4,100.00,0.88
67,0.530,0.799,0.000,1376,5,0.36,5,100.00,5,100.00,0.79
68,0.528,0.802,0.000,1376,11,0.80,11,100.00,11,100.00,0.83
69,0.524,0.801,0.000,1376,6,0.44,6,100.00,6,100.00,0.73
70,0.510,0.787,0.000,1376,7,0.51,7,100.00,7,100.00,0.82
71,0.519,0.807,0.000,1376,7,0.51,7,100.00,7,100.00,0.79
72,0.522,0.818,0.000,1376,3,0.22,3,100.00,3,100.00,0.73
73,0.511,0.807,0.000,1376,9,0.65,9,100.00,9,100.00,0.74
74,0.495,0.785,0.004,1376,5,0.36,5,100.00,5,100.00,0.85
75,0.498,0.798,0.000,1376,7,0.51,7,100.00,7,100.00,0.85
76,0.488,0.789,0.000,1376,12,0.87,12,100.00,12,100.00,0.82
77,0.498,0.812,0.000,1376,16,1.16,16,100.00,16,100.00,0.82
78,0.488,0.801,0.000,1376,10,0.73,10,100.00,10,100.00,0.78
79,0.486,0.805,0.000,1376,14,1.02,14,100.00,14,100.00,0.80
80,0.471,0.786,0.000,1376,7,0.51,7,100.00,7,100.00,0.78
81,0.472,0.795,0.000,1376,15,1.09,15,100.00,15,100.00,0.85
82,0.450,0.765,0.000,1376,11,0.80,11,100.00,11,100.00,0.83
83,0.462,0.791,0.000,1376,8,0.58,8,100.00,8,100.00,0.77
84,0.447,0.772,0.000,1376,11,0.80,11,100.00,11,100.00,0.82
85,0.445,0.775,0.000,1376,14,1.02,14,100.00,14,100.00,0.84
86,0.449,0.788,0.000,1376,10,0.73,10,100.00,10,100.00,0.83
87,0.434,0.770,0.000,1376,9,0.65,9,100.00,9,100.00,0.79
88,0.433,0.773,0.000,1376,6,0.44,6,100.00,6,100.00,0.79
89,0.426,0.768,0.000,1376,13,0.94,13,100.00,13,100.00,0.79
90,0.429,0.781,0.000,1376,11,0.80,11,100.00,11,100.00,0.79
91,0.425,0.780,0.000,1376,6,0.44,6,100.00,6,100.00,0.69
92,0.416,0.772,0.000,1376,7,0.51,7,100.00,7,100.00,0.81
93,0.416,0.779,0.000,1376,7,0.51,7,100.00,7,100.00,0.85
94,0.404,0.763,0.000,1376,8,0.58,8,100.00,8,100.00,0.83
95,0.405,0.771,0.000,1376,11,0.80,11,100.00,11,100.00,0.87
96,0.395,0.760,0.000,1376,10,0.73,10,100.00,10,100.00,0.78
97,0.388,0.753,0.000,1376,11,0.80,11,100.00,11,100.00,0.83
98,0.391,0.768,0.000,1376,10,0.73,10,100.00,10,100.00,0.79
99,0.387,0.766,0.000,1376,6,0.44,6,100.00,6,100.00,0.87
100,0.382,0.764,0.000,1376,17,1.24,16,94.12,16,100.00,0.80
101,0.387,0.773,0.000,1376,8,0.58,8,100.00,8,100.00,0.81
102,0.378,0.756,0.000,1376,13,0.94,13,100.00,13,100.00,0.79
103,0.379,0.758,0.000,1376,12,0.87,12,100.00,12,100.00,0.83
104,0.380,0.759,0.000,1376,7,0.51,7,100.00,7,100.00,0.86
105,0.376,0.752,0.000,1376,21,1.53,21,100.00,21,100.00,0.80
106,0.381,0.762,0.000,1376,11,0.80,11,100.00,11,100.00,0.82
107,0.377,0.753,0.000,1376,13,0.94,13,100.00,13,100.00,0.81
108,0.375,0.749,0.000,1376,12,0.87,12,100.00,12,100.00,0.78
109,0.381,0.761,0.000,1376,8,0.58,8,100.00,8,100.00,0.79
110,0.381,0.761,0.000,1376,1,0.07,1,100.00,1,100.00,0.36
111,0.370,0.740,0.000,1376,13,0.94,13,100.00,13,100.00,0.80
112,0.383,0.765,0.000,1376,8,0.58,8,100.00,8,100.00,0.83
113,0.370,0.740,0.000,1376,9,0.65,9,100.00,9,100.00,0.78
114,0.378,0.757,0.000,1376,8,0.58,8,100.00,8,100.00,0.79
115,0.374,0.747,0.000,1376,10,0.73,10,100.00,10,100.00,0.80
116,0.373,0.742,0.003,1376,5,0.36,5,100.00,5,100.00,0.81
117,0.378,0.756,0.000,1376,7,0.51,7,100.00,7,100.00,0.83
118,0.371,0.743,0.000,1376,10,0.73,10,100.00,10,100.00,0.83
119,0.383,0.766,0.000,1376,9,0.65,9,100.00,9,100.00,0.78
120,0.371,0.742,0.000,1376,7,0.51,7,100.00,7,100.00,0.76
121,0.371,0.742,0.000,1376,7,0.51,7,100.00,7,100.00,0.85
122,0.370,0.739,0.000,1376,18,1.31,18,100.00,18,100.00,0.82
123,0.368,0.737,0.000,1376,13,0.94,13,100.00,13,100.00,0.74
124,0.373,0.746,0.000,1376,23,1.67,23,100.00,23,100.00,0.78
125,0.372,0.744,0.000,1376,11,0.80,11,100.00,11,100.00,0.79
126,0.370,0.739,0.000,1376,17,1.24,17,100.00,17,100.00,0.83
127,0.374,0.748,0.000,1376,4,0.29,4,100.00,4,100.00,0.74
128,0.370,0.740,0.000,1376,9,0.65,9,100.00,9,100.00,0.77
129,0.370,0.740,0.000,1376,12,0.87,12,100.00,12,100.00,0.82
130,0.368,0.736,0.000,1376,11,0.80,11,100.00,11,100.00,0.78
131,0.368,0.737,0.000,1376,13,0.94,13,100.00,13,100.00,0.84
132,0.367,0.733,0.000,1376,12,0.87,12,100.00,12,100.00,0.81
133,0.370,0.740,0.000,1376,16,1.16,16,100.00,16,100.00,0.81
134,0.361,0.723,0.000,1376,14,1.02,14,100.00,14,100.00,0.76
135,0.369,0.737,0.000,1376,10,0.73,10,100.00,10,100.00,0.77
136,0.360,0.720,0.000,1376,20,1.45,20,100.00,20,100.00,0.79
137,0.368,0.736,0.000,1376,18,1.31,18,100.00,17,94.44,0.77
138,0.358,0.715,0.000,1376,17,1.24,17,100.00,17,100.00,0.76
139,0.357,0.713,0.000,1376,13,0.94,13,100.00,13,100.00,0.84
140,0.369,0.739,0.000,1376,17,1.24,17,100.00,17,100.00,0.81
141,0.364,0.728,0.000,1376,17,1.24,17,100.00,17,100.00,0.79
142,0.356,0.713,0.000,1376,16,1.16,16,100.00,16,100.00,0.79
143,0.362,0.725,0.000,1376,15,1.09,15,100.00,15,100.00,0.80
144,0.359,0.718,0.000,1376,18,1.31,18,100.00,18,100.00,0.84
145,0.355,0.710,0.000,1376,22,1.60,22,100.00,22,100.00,0.78
146,0.363,0.727,0.000,1376,14,1.02,14,100.00,14,100.00,0.75
147,0.362,0.724,0.000,1376,19,1.38,19,100.00,19,100.00,0.79
148,0.358,0.717,0.000,1376,10,0.73,10,100.00,10,100.00,0.81
149,0.358,0.717,0.000,1376,14,1.02,14,100.00,14,100.00,0.80
150,0.355,0.710,0.000,1376,15,1.09,15,100.00,15,100.00,0.78
151,0.360,0.719,0.000,1376,10,0.73,10,100.00,10,100.00,0.83
152,0.358,0.715,0.000,1376,14,1.02,14,100.00,13,92.86,0.82
153,0.359,0.719,0.000,1376,12,0.87,12,100.00,12,100.00,0.81
154,0.356,0.711,0.000,1376,11,0.80,11,100.00,11,100.00,0.77
155,0.356,0.713,0.000,1376,13,0.94,12,92.31,11,91.67,0.81
156,0.352,0.704,0.000,1376,18,1.31,18,100.00,18,100.00,0.79
157,0.347,0.694,0.000,1376,11,0.80,11,100.00,11,100.00,0.86
158,0.362,0.725,0.000,1376,20,1.45,20,100.00,20,100.00,0.71
159,0.352,0.704,0.000,1376,16,1.16,16,100.00,16,100.00,0.78
160,0.365,0.730,0.000,1376,13,0.94,13,100.00,13,100.00,0.82
161,0.350,0.700,0.000,1376,16,1.16,16,100.00,15,93.75,0.79
162,0.348,0.696,0.000,1376,16,1.16,16,100.00,16,100.00,0.81
163,0.350,0.700,0.000,1376,13,0.94,13,100.00,13,100.00,0.77
164,0.356,0.713,0.000,1376,11,0.80,11,100.00,11,100.00,0.84
165,0.347,0.693,0.000,1376,9,0.65,9,100.00,9,100.00,0.79
166,0.350,0.695,0.004,1376,25,1.82,25,100.00,25,100.00,0.80
167,0.358,0.716,0.000,1376,15,1.09,15,100.00,15,100.00,0.75
168,0.356,0.713,0.000,1376,8,0.58,8,100.00,8,100.00,0.82
169,0.349,0.697,0.000,1376,10,0.73,10,100.00,10,100.00,0.77
170,0.348,0.696,0.000,1376,11,0.80,11,100.00,11,100.00,0.81
171,0.352,0.704,0.000,1376,25,1.82,25,100.00,24,96.00,0.76
172,0.344,0.689,0.000,1376,26,1.89,26,100.00,26,100.00,0.80
173,0.342,0.685,0.000,1376,12,0.87,12,100.00,12,100.00,0.75
174,0.356,0.712,0.000,1376,24,1.74,24,100.00,24,100.00,0.84
